cycle,t,drain_s,failures,ferry_cri_up,ferry_cri_fds,ferry_cri_rss_mib,ferry_cri_threads,ferry_streamer_up,ferry_streamer_fds,ferry_streamer_rss_mib,ferry_streamer_threads,ferry_proxyd_up,ferry_proxyd_fds,ferry_proxyd_rss_mib,ferry_proxyd_threads,ferry_proxy_up,ferry_proxy_fds,ferry_proxy_rss_mib,ferry_proxy_threads,ferry_netpol_up,ferry_netpol_fds,ferry_netpol_rss_mib,ferry_netpol_threads,ferry_storage_up,ferry_storage_fds,ferry_storage_rss_mib,ferry_storage_threads,kubelet_up,kubelet_fds,kubelet_rss_mib,kubelet_threads,etcd_up,etcd_fds,etcd_rss_mib,etcd_threads,kube_apiserver_up,kube_apiserver_fds,kube_apiserver_rss_mib,kube_apiserver_threads,kube_controller_manager_up,kube_controller_manager_fds,kube_controller_manager_rss_mib,kube_controller_manager_threads,kube_scheduler_up,kube_scheduler_fds,kube_scheduler_rss_mib,kube_scheduler_threads,vms,run_files,run_sockets,run_dirs,run_mib,run_logs_mib,state_mib,etcd_db_mib,if_bridge,if_vmenet,if_total,tcp_listen,tcp_established,tcp_close_wait,udp,unix_socks,api_up,k8s_pods,k8s_pods_all,k8s_endpoints,k8s_events,host_used_mib
45,1790306564.50,3.5,0,1,61,374,45,1,11,44,15,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,118,41,1,82,216,23,1,117,462,28,1,35,130,24,1,16,68,22,1,323,2,161,657,20,492,96,6,12,39,4,7,0,1,30,1,0,1,0,34045,65905
46,1790306646.23,3.4,0,1,61,375,48,1,11,44,15,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,118,41,1,82,216,23,1,117,462,28,1,35,130,24,1,16,68,22,1,275,2,161,657,20,492,96,6,12,39,4,7,0,1,30,1,0,1,0,34345,66264
47,1790306685.09,3.4,0,1,61,376,44,1,11,44,15,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,118,41,1,82,216,23,1,117,462,28,1,35,130,24,1,16,68,22,1,280,2,161,658,21,492,96,6,12,39,4,7,0,1,30,1,0,1,0,34645,66041
48,1790306724.21,3.4,0,1,61,379,47,1,11,44,15,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,118,41,1,82,217,23,1,117,462,28,1,35,130,24,1,16,68,22,1,244,2,121,559,21,492,96,6,12,39,4,7,0,1,30,1,0,1,0,34945,65954
49,1790306764.45,3.3,0,1,61,380,46,1,11,44,15,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,118,41,1,82,217,23,1,117,462,28,1,35,130,24,1,16,68,22,1,377,2,239,852,22,492,96,6,12,39,4,7,0,1,30,1,0,1,0,35243,66325
50,1790306803.59,3.3,0,1,61,382,46,1,11,44,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,119,41,1,82,217,23,1,117,462,28,1,35,130,24,1,16,68,22,1,311,2,161,659,22,492,96,6,12,39,4,7,0,1,30,1,0,1,0,35543,66042
51,1790306891.13,3.4,0,1,61,382,46,1,11,44,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,119,41,1,82,217,23,1,117,462,28,1,35,131,24,1,16,68,22,1,151,2,41,362,22,492,96,6,12,39,4,7,0,1,30,1,0,1,0,35843,66392
52,1790306930.79,3.4,0,1,61,384,44,1,11,44,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,119,41,1,82,217,23,1,117,462,28,1,35,131,24,1,16,68,22,1,279,2,159,655,23,492,96,6,12,39,4,7,0,1,30,1,0,1,0,36139,66292
53,1790306970.87,3.4,0,1,61,386,49,1,11,44,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,119,41,1,82,218,23,1,117,462,28,1,35,131,24,1,16,68,22,1,271,2,159,655,23,492,96,6,12,39,4,7,0,1,30,1,0,1,0,36434,66055
54,1790307010.30,3.5,0,1,61,388,44,1,11,44,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,120,41,1,82,221,23,1,117,462,28,1,35,131,24,1,16,68,22,1,390,2,279,953,24,492,96,6,12,39,4,7,0,1,30,1,0,1,0,36733,66178
