start-IfNotPresent	run2	41974
start-IfNotPresent	run2-running	646
start-IfNotPresent	run3	3712
start-IfNotPresent	run3-running	630
start-IfNotPresent	run4	723
start-IfNotPresent	run4-running	614
start-IfNotPresent	run5	162683
start-IfNotPresent	run5-running	630
start-IfNotPresent	run6	3712
start-IfNotPresent	run6-running	637
start-IfNotPresent	mean	36092
reachability	run1-ip	54
reachability	run1-tcp	42853
reachability	run1-buildctl	42898
reachability	run2-ip	54
reachability	run2-tcp	2236
reachability	run2-buildctl	2281
reachability	run3-ip	54
reachability	run3-tcp	164858
reachability	run3-buildctl	164903
reachability	run4-ip	52
reachability	run4-tcp	2229
reachability	run4-buildctl	2272
reachability	run5-ip	58
reachability	run5-tcp	62159
reachability	run5-buildctl	62203
reachability	run6-ip	59
reachability	run6-tcp	2236
reachability	run6-buildctl	2279
reachability	run1-ip	52
reachability	run1-tcp	80
reachability	run1-buildctl	117
reachability	run2-ip	56
reachability	run2-tcp	86
reachability	run2-buildctl	125
reachability	run3-ip	51
reachability	run3-tcp	81
reachability	run3-buildctl	117
reachability	run4-ip	52
reachability	run4-tcp	79
reachability	run4-buildctl	113
reachability	run5-ip	57
reachability	run5-tcp	88
reachability	run5-buildctl	125
reachability	run6-ip	52
reachability	run6-tcp	82
reachability	run6-buildctl	116
start-IfNotPresent	run1	746
start-IfNotPresent	run1-running	645
start-IfNotPresent	run2	704
start-IfNotPresent	run2-running	641
start-IfNotPresent	run3	717
start-IfNotPresent	run3-running	637
start-IfNotPresent	run4	706
start-IfNotPresent	run4-running	642
start-IfNotPresent	run5	707
start-IfNotPresent	run5-running	644
start-IfNotPresent	run6	1627
start-IfNotPresent	run6-running	548
start-IfNotPresent	mean	867
loop-node	run1-ferry	1500
loop-node	run1-docker	3258
loop-node	run1-docker-build	613
loop-node	run2-ferry	1746
loop-node	run2-docker	2491
loop-node	run2-docker-build	829
loop-node	run3-ferry	1405
loop-node	run3-docker	1998
loop-node	run3-docker-build	458
loop-fat	run1-ferry	27177
loop-fat	run1-docker	12330
loop-fat	run1-docker-build	789
loop-fat	run2-ferry	23605
loop-fat	run2-docker	6737
loop-fat	run2-docker-build	545
loop-fat	run3-ferry	5190
loop-fat	run3-docker	6792
loop-fat	run3-docker-build	449
loop-node	run1-ferry	1484
loop-node	run1-docker	2119
loop-node	run1-docker-build	512
loop-node	run2-ferry	1338
loop-node	run2-docker	2162
loop-node	run2-docker-build	557
loop-node	run3-ferry	1491
loop-node	run3-docker	2080
loop-node	run3-docker-build	513
loop-fat	run1-ferry	5374
loop-fat	run1-docker	7157
loop-fat	run1-docker-build	452
loop-fat	run2-ferry	5642
loop-fat	run2-docker	6688
loop-fat	run2-docker-build	472
loop-fat	run3-ferry	5729
loop-fat	run3-docker	6891
loop-fat	run3-docker-build	610
loop-tiny	run1-ferry	505
loop-tiny	run1-docker	1035
loop-tiny	run1-docker-build	523
loop-tiny	run2-ferry	477
loop-tiny	run2-docker	1189
loop-tiny	run2-docker-build	728
loop-tiny	run3-ferry	474
loop-tiny	run3-docker	1020
loop-tiny	run3-docker-build	577
